User_Name,isVerified,DateOfReview,Rating,Review,hasProfanity
Kevin M,True,2019-08-18,4.0,Good but go mainly for the sentimental value,False
Angelwolf,True,2019-08-18,4.0,The animation was really good,False
sheril,True,2019-08-18,5.0,i thought it was awesone. i really like the originalaty of the animals.really enjoyed it .i would see it again.  they nailed it .cant wait till dvd comes out .very much worth it,False
Maggie L,True,2019-08-18,3.0,"I think that they should’ve brought back more of the original voice actors, This movie is so iconic and So important to so many people... I don’t think they did it any justice the way it is.  If they had created an entirely new story with the kind of computer generated animals that were in the lion King they would have had an amazing movie but, the way it is now it was kind of disappointing",False
Bryan A,True,2019-08-18,5.0,"Great, absolutely great!  The animation was great, the story line spot on and Beyoncé delivered.  A little more violence than the animated version but that was expected.  Overall - loved it.",False
Bethany,True,2019-08-18,5.0,It was just like the first one. Very good animation. Very cute movie,False
Alexander G,False,2019-08-18,3.0,Didn't make me feel anything unlike the original.,False
Lori,True,2019-08-18,5.0,"Well done! A great way to redo a classic. It felt part National Geographic, part Pixar. Loved watching all of the animal species in their habitat.",False
Tim stoeckle,True,2019-08-18,4.0,"Good movie.  Just that the original animated was better, in my humble opinion.",False
Sheena,True,2019-08-18,3.0,I didn’t like Beyoncé being nala. Bad acting. I didn’t like that they kept some things out. I didn’t like some of the stuff that they added was unnecessary. It’s a very good classic no need to try to fix or change something that is very nostalgic to childhood memories. So for me it was more of a 2.5 rating.,False
Marsha C,False,2019-08-18,5.0,"Such a beautiful story. We've loved the animated version for years, but this was a step up. The animals were all so beautiful, except the hyenas, which were really scary!",False
Rigo,False,2019-08-18,4.0,"great Flick, Kids had some good Laughs,.",False
Eckj,True,2019-08-18,5.0,It was great!! We loved it.,False
Chandler,True,2019-08-18,4.5,It’s The Lion King! This movie is absolutely gorgeous. Every little detail was thought of and shown in this movie. From the soundtrack to the story it’ll take you right back to the first time you saw it when you were a kid.,False
Jeffrey B,False,2019-08-18,5.0,I truly enjoyed this movie from the story to the music. Had such a great cast,False
Linda Lea,True,2019-08-18,5.0,All of the animals were so life-like and real!  I dont know how they do that!  WONDERFUL!  Loved it!,False
Tim T,True,2019-08-18,4.0,Very good movie a little violent for young kids maybe,False
ch,True,2019-08-18,5.0,awesome!!! a must see,False
J,True,2019-08-18,0.5,Animation was good. Nearly every line was the exact same as the old movie though so its very boring. Besides the way the movie looks it is the exact same. Dont really understand why they remade this one. At least the Aladdin remake had some changes to the story line and new songs to keep it fresh and entertaining,False
,False,2019-08-18,4.5,"Not the original, but just as special.",False
sheri w,True,2019-08-18,3.0,the hype didn't meet expectations,False
Kenneth P.,True,2019-08-18,4.0,"While rated PG, it is most appropriate for fourth or fifth graders & up.",False
Salsamanp,True,2019-08-18,5.0,Very good adaptation of the original cartoon with realistic looking animation.,False
Jennifer,True,2019-08-18,5.0,Wonderful and pretty close to the original!,False
SWalt,True,2019-08-18,5.0,Loved it. I loved the original cartoon so I have it a shot and tell on love.,False
Juan S,False,2019-08-18,4.0,"Same history, more realist. Good work. ",False
Paula R,True,2019-08-18,5.0,This story will never grow old....just a fresh perspective on wonderful!,False
scouting6,True,2019-08-18,2.0,I fell asleep several times.  Animated movie was so much better.,False
David G,False,2019-08-18,2.5,VERY BEAUTIFUL. The CGI looked genuinely amazing but that's all I really have to say. The animated one was so much better. At least they brought back James Earl Jones. However SETH ROGAN should NOT have been PUMBA. I now will always picture Pumba as a stoner,False
Michelle Salazar,True,2019-08-18,5.0,It was wonderful!! My family loved it! There is nothing i would change. It was perfect!!😊,False
